"Package","Version","citation"
"cpp11","0.5.2","To cite package ‘cpp11’ in publications use:    Vaughan D, Hester J, François R (2025). _cpp11: A C++11 Interface for R's C Interface_. R   package version 0.5.2, <https://CRAN.R-project.org/package=cpp11>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {cpp11: A C++11 Interface for R's C Interface},     author = {Davis Vaughan and Jim Hester and Romain François},     year = {2025},     note = {R package version 0.5.2},     url = {https://CRAN.R-project.org/package=cpp11},   }"
"crayon","1.5.3","To cite package ‘crayon’ in publications use:    Csárdi G (2024). _crayon: Colored Terminal Output_. R package version 1.5.3,   <https://CRAN.R-project.org/package=crayon>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {crayon: Colored Terminal Output},     author = {Gábor Csárdi},     year = {2024},     note = {R package version 1.5.3},     url = {https://CRAN.R-project.org/package=crayon},   }"
"curl","6.4.0","To cite package ‘curl’ in publications use:    Ooms J (2025). _curl: A Modern and Flexible Web Client for R_. R package version 6.4.0,   <https://jeroen.r-universe.dev/curl>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {curl: A Modern and Flexible Web Client for R},     author = {Jeroen Ooms},     year = {2025},     note = {R package version 6.4.0},     url = {https://jeroen.r-universe.dev/curl},   }"
"data.table","1.17.8","To cite package ‘data.table’ in publications use:    Barrett T, Dowle M, Srinivasan A, Gorecki J, Chirico M, Hocking T, Schwendinger B, Krylov I   (2025). _data.table: Extension of `data.frame`_. R package version 1.17.8,   <https://CRAN.R-project.org/package=data.table>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {data.table: Extension of `data.frame`},     author = {Tyson Barrett and Matt Dowle and Arun Srinivasan and Jan Gorecki and Michael Chirico and Toby Hocking and Benjamin Schwendinger and Ivan Krylov},     year = {2025},     note = {R package version 1.17.8},     url = {https://CRAN.R-project.org/package=data.table},   }"
"DBI","1.2.3","To cite package ‘DBI’ in publications use:    R Special Interest Group on Databases (R-SIG-DB), Wickham H, Müller K (2024). _DBI: R   Database Interface_. R package version 1.2.3, https://github.com/r-dbi/DBI,   <https://dbi.r-dbi.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {DBI: R Database Interface},     author = {{R Special Interest Group on Databases (R-SIG-DB)} and Hadley Wickham and Kirill Müller},     year = {2024},     note = {R package version 1.2.3, https://github.com/r-dbi/DBI},     url = {https://dbi.r-dbi.org},   }"
"dbplyr","2.5.0","To cite package ‘dbplyr’ in publications use:    Wickham H, Girlich M, Ruiz E (2024). _dbplyr: A 'dplyr' Back End for Databases_. R package   version 2.5.0, https://github.com/tidyverse/dbplyr, <https://dbplyr.tidyverse.org/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {dbplyr: A 'dplyr' Back End for Databases},     author = {Hadley Wickham and Maximilian Girlich and Edgar Ruiz},     year = {2024},     note = {R package version 2.5.0, https://github.com/tidyverse/dbplyr},     url = {https://dbplyr.tidyverse.org/},   }"
"DelayedArray","0.28.0","To cite package ‘DelayedArray’ in publications use:    Pagès H (2023). _DelayedArray: A unified framework for working transparently with on-disk   and in-memory array-like datasets_. doi:10.18129/B9.bioc.DelayedArray   <https://doi.org/10.18129/B9.bioc.DelayedArray>, R package version 0.28.0,   <https://bioconductor.org/packages/DelayedArray>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {DelayedArray: A unified framework for working transparently with on-disk and in-memory array-like datasets},     author = {Hervé Pagès},     year = {2023},     note = {R package version 0.28.0},     url = {https://bioconductor.org/packages/DelayedArray},     doi = {10.18129/B9.bioc.DelayedArray},   }"
"DEoptimR","1.1-4","To cite package ‘DEoptimR’ in publications use:    Conceicao EL (2025). _DEoptimR: Differential Evolution Optimization in Pure R_. R package   version 1.1-4, <https://CRAN.R-project.org/package=DEoptimR>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {DEoptimR: Differential Evolution Optimization in Pure R},     author = {Eduardo L. T. Conceicao},     year = {2025},     note = {R package version 1.1-4},     url = {https://CRAN.R-project.org/package=DEoptimR},   }"
"Deriv","4.2.0","To cite package ‘Deriv’ in publications use:    Clausen A, Sokol S (2024). _Deriv: R-based Symbolic Differentiation_. Deriv package version   4.2, <https://CRAN.R-project.org/package=Deriv>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {{Deriv}: R-based Symbolic Differentiation},     author = {Andrew Clausen and Serguei Sokol},     year = {2024},     note = {Deriv package version 4.2},     url = {https://CRAN.R-project.org/package=Deriv},   }"
"DESeq2","1.42.1","To cite package ‘DESeq2’ in publications use:    Love, M.I., Huber, W., Anders, S. Moderated estimation of fold change and dispersion for   RNA-seq data with DESeq2 Genome Biology 15(12):550 (2014)  A BibTeX entry for LaTeX users is    @Article{,     title = {Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2},     author = {Michael I. Love and Wolfgang Huber and Simon Anders},     year = {2014},     journal = {Genome Biology},     doi = {10.1186/s13059-014-0550-8},     volume = {15},     issue = {12},     pages = {550},   }"
